
==================================================================
| IO Statistics                                                  |
|                                                                |
| Duration: 300.408637 secs                                      |
| Interval:   1 secs                                             |
|                                                                |
| Col 1: tcp                                                     |
|     2: tcp.analysis.lost_segment                               |
|     3: tcp.analysis.retransmission                             |
|----------------------------------------------------------------|
|            |1                |2               |3               |
| Interval   | Frames |  Bytes | Frames | Bytes | Frames | Bytes |
|  85 <>  86 |     59 |  29583 |      0 |     0 |      0 |     0 |
|  86 <>  87 |     12 |   1247 |      0 |     0 |      0 |     0 |
|  87 <>  88 |     31 |  20999 |      0 |     0 |      0 |     0 |
|  88 <>  89 |      4 |    288 |      0 |     0 |      0 |     0 |
|  89 <>  90 |     12 |    792 |      0 |     0 |      0 |     0 |
|  90 <>  91 |      0 |      0 |      0 |     0 |      0 |     0 |
|  91 <>  92 |      6 |    396 |      0 |     0 |      0 |     0 |
|  92 <>  93 |      0 |      0 |      0 |     0 |      0 |     0 |
|  93 <>  94 |      4 |    264 |      0 |     0 |      0 |     0 |
|  94 <>  95 |      4 |    322 |      0 |     0 |      0 |     0 |
|  95 <>  96 |      9 |    704 |      0 |     0 |      0 |     0 |
|  96 <>  97 |     21 |   9029 |      1 |    54 |      0 |     0 |
|  97 <>  98 |      8 |   1050 |      0 |     0 |      0 |     0 |
|  98 <>  99 |      0 |      0 |      0 |     0 |      0 |     0 |
|  99 <> 100 |     12 |    952 |      0 |     0 |      0 |     0 |
| 100 <> 101 |      0 |      0 |      0 |     0 |      0 |     0 |
| 101 <> 102 |     12 |   1247 |      0 |     0 |      0 |     0 |
| 102 <> 103 |     35 |  21371 |      0 |     0 |      0 |     0 |
| 103 <> 104 |      2 |    132 |      0 |     0 |      0 |     0 |
| 104 <> 105 |      0 |      0 |      0 |     0 |      0 |     0 |
| 105 <> 106 |     14 |   1606 |      0 |     0 |      0 |     0 |
| 106 <> 107 |      0 |      0 |      0 |     0 |      0 |     0 |
| 107 <> 108 |      2 |    132 |      0 |     0 |      0 |     0 |
| 108 <> 109 |     40 |  66292 |      0 |     0 |      0 |     0 |
| 109 <> 110 |      0 |      0 |      0 |     0 |      0 |     0 |
| 110 <> 111 |      0 |      0 |      0 |     0 |      0 |     0 |
| 111 <> 112 |      0 |      0 |      0 |     0 |      0 |     0 |
| 112 <> 113 |      8 |   1050 |      0 |     0 |      0 |     0 |
| 113 <> 114 |      2 |    132 |      0 |     0 |      0 |     0 |
| 114 <> 115 |      0 |      0 |      0 |     0 |      0 |     0 |
| 115 <> 116 |     25 |   2172 |      0 |     0 |      2 |   195 |
| 116 <> 117 |      7 |    774 |      0 |     0 |      1 |   129 |
| 117 <> 118 |      7 |    909 |      0 |     0 |      1 |   129 |
| 118 <> 119 |      2 |   1119 |      0 |     0 |      0 |     0 |
| 119 <> 120 |      9 |    703 |      0 |     0 |      1 |   129 |
| 120 <> 121 |      3 |    256 |      0 |     0 |      0 |     0 |
| 121 <> 122 |     65 |  24943 |      0 |     0 |      0 |     0 |
| 122 <> 123 |     20 |  11696 |      0 |     0 |      0 |     0 |
| 123 <> 124 |      4 |    350 |      0 |     0 |      1 |   129 |
| 124 <> 125 |      0 |      0 |      0 |     0 |      0 |     0 |
| 125 <> 126 |      0 |      0 |      0 |     0 |      0 |     0 |
| 126 <> 127 |     15 |   1545 |      0 |     0 |      0 |     0 |
| 127 <> 128 |      6 |    918 |      0 |     0 |      0 |     0 |
| 128 <> 129 |      2 |    132 |      0 |     0 |      0 |     0 |
| 129 <> 130 |      0 |      0 |      0 |     0 |      0 |     0 |
| 130 <> 131 |      7 |    520 |      0 |     0 |      0 |     0 |
| 131 <> 132 |      5 |    642 |      0 |     0 |      1 |   129 |
| 132 <> 133 |     49 |  34487 |      0 |     0 |      0 |     0 |
| 133 <> 134 |     20 |   2975 |      0 |     0 |      0 |     0 |
| 134 <> 135 |     24 |   2450 |      0 |     0 |      0 |     0 |
| 135 <> 136 |      3 |    250 |      0 |     0 |      0 |     0 |
| 136 <> 137 |     14 |   1132 |      0 |     0 |      0 |     0 |
| 137 <> 138 |      4 |   2386 |      0 |     0 |      0 |     0 |
| 138 <> 139 |      4 |    264 |      0 |     0 |      0 |     0 |
| 139 <> 140 |      0 |      0 |      0 |     0 |      0 |     0 |
| 140 <> 141 |     38 |  17049 |      0 |     0 |      0 |     0 |
| 141 <> 142 |     21 |   2614 |      0 |     0 |      0 |     0 |
| 142 <> 143 |      8 |   1032 |      0 |     0 |      0 |     0 |
| 143 <> 144 |     73 |  33490 |      0 |     0 |      0 |     0 |
| 144 <> 145 |     41 |  20217 |      0 |     0 |      0 |     0 |
| 145 <> 146 |     18 |   1588 |      0 |     0 |      0 |     0 |
| 146 <> 147 |     15 |   2270 |      0 |     0 |      0 |     0 |
| 147 <> 148 |      4 |   1067 |      0 |     0 |      0 |     0 |
| 148 <> 149 |      6 |    420 |      0 |     0 |      0 |     0 |
| 149 <> 150 |      0 |      0 |      0 |     0 |      0 |     0 |
| 150 <> 151 |      0 |      0 |      0 |     0 |      0 |     0 |
| 151 <> 152 |     15 |   1571 |      0 |     0 |      0 |     0 |
| 152 <> 153 |      2 |    132 |      0 |     0 |      0 |     0 |
| 153 <> 154 |      0 |      0 |      0 |     0 |      0 |     0 |
| 154 <> 155 |      2 |    132 |      0 |     0 |      0 |     0 |
| 155 <> 156 |     24 |  14555 |      0 |     0 |      0 |     0 |
| 156 <> 157 |      8 |   1092 |      0 |     0 |      0 |     0 |
| 157 <> 158 |     19 |   2677 |      0 |     0 |      0 |     0 |
| 158 <> 159 |      2 |    132 |      0 |     0 |      0 |     0 |
| 159 <> 160 |      7 |   2052 |      0 |     0 |      0 |     0 |
| 160 <> 161 |      0 |      0 |      0 |     0 |      0 |     0 |
| 161 <> 162 |      4 |    525 |      0 |     0 |      0 |     0 |
| 162 <> 163 |     71 |  60950 |      1 |   235 |      0 |     0 |
| 163 <> 164 |     30 |   7805 |      0 |     0 |      0 |     0 |
| 164 <> 165 |      4 |    264 |      0 |     0 |      0 |     0 |
| 165 <> 166 |      0 |      0 |      0 |     0 |      0 |     0 |
| 166 <> 167 |      3 |    278 |      0 |     0 |      0 |     0 |
| 167 <> 168 |     16 |   1534 |      0 |     0 |      0 |     0 |
| 168 <> 169 |      0 |      0 |      0 |     0 |      0 |     0 |
| 169 <> 170 |      0 |      0 |      0 |     0 |      0 |     0 |
| 170 <> 171 |      7 |    578 |      0 |     0 |      0 |     0 |
| 171 <> 172 |      2 |    132 |      0 |     0 |      0 |     0 |
| 172 <> 173 |      7 |    984 |      0 |     0 |      0 |     0 |
| 173 <> 174 |      2 |    132 |      0 |     0 |      0 |     0 |
| 174 <> 175 |      3 |    286 |      0 |     0 |      0 |     0 |
| 175 <> 176 |     21 |   2248 |      0 |     0 |      0 |     0 |
| 176 <> 177 |     27 |  13295 |      0 |     0 |      0 |     0 |
| 177 <> 178 |     67 |  17977 |      1 |    66 |      1 |    66 |
| 178 <> 179 |      7 |   1010 |      0 |     0 |      0 |     0 |
| 179 <> 180 |     17 |   1247 |      1 |    66 |      0 |     0 |
| 180 <> 181 |      4 |    322 |      0 |     0 |      0 |     0 |
| 181 <> 182 |      6 |    396 |      0 |     0 |      0 |     0 |
| 182 <> 183 |      5 |    436 |      0 |     0 |      0 |     0 |
| 183 <> 184 |      2 |    132 |      0 |     0 |      0 |     0 |
| 184 <> 185 |      0 |      0 |      0 |     0 |      0 |     0 |
| 185 <> 186 |      9 |    657 |      0 |     0 |      0 |     0 |
| 186 <> 187 |      8 |    591 |      0 |     0 |      0 |     0 |
| 187 <> 188 |      8 |   1032 |      0 |     0 |      0 |     0 |
| 188 <> 189 |      0 |      0 |      0 |     0 |      0 |     0 |
| 189 <> 190 |     13 |   1106 |      0 |     0 |      0 |     0 |
| 190 <> 191 |      0 |      0 |      0 |     0 |      0 |     0 |
| 191 <> 192 |     21 |  11277 |      0 |     0 |      0 |     0 |
| 192 <> 193 |     65 |  95927 |      1 |  2962 |      0 |     0 |
| 193 <> 194 |      2 |    132 |      0 |     0 |      0 |     0 |
| 194 <> 195 |      0 |      0 |      0 |     0 |      0 |     0 |
| 195 <> 196 |      9 |    762 |      0 |     0 |      0 |     0 |
| 196 <> 197 |      0 |      0 |      0 |     0 |      0 |     0 |
| 197 <> 198 |     12 |    934 |      0 |     0 |      0 |     0 |
| 198 <> 199 |      6 |    459 |      0 |     0 |      0 |     0 |
| 199 <> 200 |      0 |      0 |      0 |     0 |      0 |     0 |
| 200 <> 201 |      0 |      0 |      0 |     0 |      0 |     0 |
| 201 <> 202 |      0 |      0 |      0 |     0 |      0 |     0 |
| 202 <> 203 |     27 |   3327 |      0 |     0 |      0 |     0 |
| 203 <> 204 |    107 |  43941 |      0 |     0 |      0 |     0 |
| 204 <> 205 |      3 |    286 |      0 |     0 |      0 |     0 |
| 205 <> 206 |      4 |    322 |      0 |     0 |      0 |     0 |
| 206 <> 207 |     26 |  12356 |      0 |     0 |      0 |     0 |
| 207 <> 208 |      6 |    396 |      0 |     0 |      0 |     0 |
| 208 <> 209 |      4 |    288 |      0 |     0 |      0 |     0 |
| 209 <> 210 |      4 |    623 |      0 |     0 |      0 |     0 |
| 210 <> 211 |      4 |    264 |      0 |     0 |      0 |     0 |
| 211 <> 212 |      4 |    344 |      0 |     0 |      0 |     0 |
| 212 <> 213 |      4 |    344 |      0 |     0 |      0 |     0 |
