Interval,toatl_packet,Loss_packet,Loss_Bytes,Retrans_Frames,Retrans_Bytes,Throughput_Bytes_per_sec,loss_percent,loss_percent2
83-84,32,1,150,0,0,11095.0,3.125,3.125
84-85,589,15,22964,0,0,756673.0,2.5466893039049237,2.5466893039049237
85-86,16,0,0,0,0,2449.0,0.0,0.0
86-87,16,0,0,0,0,2384.0,0.0,0.0
87-88,625,17,27646,2,4320,836761.0,2.7199999999999998,3.04
88-89,24,0,0,0,0,8834.0,0.0,0.0
89-90,9,0,0,0,0,1754.0,0.0,0.0
90-91,34,1,150,0,0,4355.0,2.941176470588235,2.941176470588235
91-92,244,5,7310,0,0,304449.0,2.0491803278688523,2.0491803278688523
92-93,36,1,1466,0,0,10279.0,2.7777777777777777,2.7777777777777777
93-94,15,0,0,0,0,2230.0,0.0,0.0
94-95,5,0,0,0,0,758.0,0.0,0.0
95-96,0,0,0,0,0,0.0,0,0
96-97,0,0,0,0,0,0.0,0,0
97-98,0,0,0,0,0,0.0,0,0
98-99,0,0,0,0,0,0.0,0,0
99-100,0,0,0,0,0,0.0,0,0
100-101,0,0,0,0,0,0.0,0,0
101-102,0,0,0,0,0,0.0,0,0
102-103,0,0,0,0,0,0.0,0,0
103-104,193,2,1596,1,66,91886.0,1.0362694300518136,1.5544041450777202
104-105,6,0,0,1,172,518.0,0.0,16.666666666666664
105-106,0,0,0,0,0,0.0,0,0
106-107,0,0,0,0,0,0.0,0,0
107-108,0,0,0,0,0,0.0,0,0
108-109,1060,11,11996,7,6339,805731.0,1.0377358490566038,1.6981132075471699
109-110,1142,23,32230,19,24606,1161304.0,2.0140105078809105,3.677758318739054
110-111,34,1,105,4,467,12610.0,2.941176470588235,14.705882352941178
111-112,0,0,0,0,0,0.0,0,0
112-113,0,0,0,0,0,0.0,0,0
113-114,0,0,0,0,0,0.0,0,0
114-115,0,0,0,0,0,0.0,0,0
115-116,255,5,8710,5,715,213389.0,1.9607843137254901,3.9215686274509802
116-117,336,8,10339,4,5848,319096.0,2.380952380952381,3.571428571428571
117-118,414,3,4386,0,0,580038.0,0.7246376811594203,0.7246376811594203
118-119,13,1,182,0,0,2385.0,7.6923076923076925,7.6923076923076925
119-120,74,0,0,0,0,23906.0,0.0,0.0
120-121,19,0,0,0,0,3847.0,0.0,0.0
121-122,0,0,0,0,0,0.0,0,0
122-123,0,0,0,0,0,0.0,0,0
123-124,0,0,0,0,0,0.0,0,0
124-125,0,0,0,0,0,0.0,0,0
125-126,167,8,4009,6,7165,87289.0,4.790419161676647,8.383233532934131
126-127,496,16,22035,2,2152,524476.0,3.225806451612903,3.6290322580645165
127-128,277,1,1462,0,0,392104.0,0.36101083032490977,0.36101083032490977
128-129,125,1,1514,4,486,81522.0,0.8,4.0
129-130,392,11,14770,0,0,493692.0,2.806122448979592,2.806122448979592
130-131,63,0,0,2,132,13616.0,0.0,3.1746031746031744
131-132,67,1,182,0,0,26846.0,1.4925373134328357,1.4925373134328357
132-133,53,0,0,0,0,39652.0,0.0,0.0
133-134,40,1,1466,2,132,21161.0,2.5,7.5
134-135,37,2,1616,0,0,10798.0,5.405405405405405,5.405405405405405
135-136,3,0,0,2,1702,2553.0,0.0,66.66666666666666
136-137,0,0,0,0,0,0.0,0,0
137-138,0,0,0,0,0,0.0,0,0
138-139,0,0,0,0,0,0.0,0,0
139-140,132,0,0,1,851,54731.0,0.0,0.7575757575757576
140-141,45,0,0,2,132,13576.0,0.0,4.444444444444445
141-142,170,0,0,3,237,50580.0,0.0,1.7647058823529411
142-143,56,3,522,0,0,14190.0,5.357142857142857,5.357142857142857
143-144,53,1,182,0,0,12360.0,1.8867924528301887,1.8867924528301887
144-145,88,3,429,0,0,18494.0,3.4090909090909087,3.4090909090909087
145-146,16,0,0,0,0,2509.0,0.0,0.0
146-147,6,0,0,0,0,1440.0,0.0,0.0
147-148,16,0,0,0,0,2384.0,0.0,0.0
148-149,40,1,142,0,0,6012.0,2.5,2.5
149-150,29,0,0,0,0,5914.0,0.0,0.0
150-151,13,1,142,0,0,2122.0,7.6923076923076925,7.6923076923076925
151-152,86,1,105,0,0,23617.0,1.1627906976744187,1.1627906976744187
152-153,23,0,0,0,0,6750.0,0.0,0.0
153-154,22,0,0,1,93,3987.0,0.0,4.545454545454546
154-155,15,0,0,0,0,2318.0,0.0,0.0
155-156,0,0,0,0,0,0.0,0,0
156-157,0,0,0,0,0,0.0,0,0
157-158,0,0,0,0,0,0.0,0,0
158-159,0,0,0,0,0,0.0,0,0
159-160,0,0,0,0,0,0.0,0,0
160-161,0,0,0,0,0,0.0,0,0
161-162,160,2,2932,3,3140,60538.0,1.25,3.125
